target,baseline (mean),baseline (s.d.),DSP (mean),DSP (s.d.),relative inference calls (mean),relative inference calls (s.d.)
CYP3A4,0.326,0.021,0.348,0.045,0.181,0.027
ADRB2,0.448,0.035,0.453,0.022,0.252,0.026
SRC,0.474,0.025,0.430,0.062,0.184,0.021
AKT1,0.313,0.063,0.335,0.033,0.376,0.074
ADORA2A,0.666,0.015,0.658,0.007,0.157,0.028
DHFR,0.354,0.042,0.384,0.017,0.200,0.018
PPARA,0.466,0.031,0.490,0.014,0.366,0.070
MAPKAPK2,0.594,0.027,0.574,0.027,0.193,0.019
EGFR,0.466,0.129,0.396,0.036,0.255,0.035
PGR,0.436,0.045,0.468,0.048,0.383,0.026
MAPK14,0.498,0.050,0.484,0.024,0.218,0.038
PTGS2,0.553,0.178,0.574,0.045,0.272,0.044
PTPN1,0.366,0.048,0.410,0.074,0.284,0.041
FGFR1,0.574,0.013,0.578,0.032,0.279,0.050
ESR1,0.389,0.077,0.466,0.048,0.327,0.102
HSP90AA1,0.439,0.014,0.425,0.039,0.245,0.027
ESR2,0.308,0.147,0.383,0.043,0.407,0.034
AR,0.478,0.024,0.368,0.129,0.393,0.086
REN,0.296,0.029,0.325,0.011,0.220,0.062
NR3C1,0.231,0.030,0.311,0.075,0.599,0.108
BACE1,0.362,0.031,0.382,0.058,0.246,0.060
CASP3,0.366,0.070,0.415,0.060,0.288,0.066
THRB,0.298,0.042,0.294,0.023,0.505,0.139
DRD2,0.528,0.034,0.552,0.032,0.228,0.020
DPP4,0.326,0.018,0.332,0.030,0.286,0.077
LCK,0.461,0.022,0.426,0.042,0.193,0.037
MAP2K1,0.450,0.056,0.442,0.051,0.310,0.063
AKT2,0.342,0.024,0.316,0.018,0.225,0.054
PDE5A,0.474,0.031,0.508,0.029,0.294,0.100
CDK2,0.448,0.014,0.474,0.058,0.225,0.038
DRD3,0.445,0.040,0.463,0.060,0.276,0.067
KIT,0.590,0.020,0.598,0.005,0.230,0.035
PTK2,0.470,0.070,0.449,0.030,0.264,0.032
MAOB,0.239,0.062,0.163,0.102,0.736,0.063
ADRB1,0.513,0.013,0.517,0.015,0.309,0.042
IGF1R,0.383,0.016,0.350,0.049,0.296,0.027
MET,0.517,0.007,0.526,0.036,0.299,0.052
GBA,0.326,0.048,0.268,0.085,0.350,0.052
PPARG,0.301,0.021,0.302,0.025,0.330,0.037
PARP1,0.410,0.040,0.383,0.054,0.186,0.066
MAPK1,0.434,0.027,0.439,0.038,0.249,0.019
JAK2,0.549,0.020,0.554,0.009,0.194,0.035
ADAM17,0.337,0.107,0.326,0.065,0.263,0.030
HSD11B1,0.363,0.028,0.298,0.033,0.363,0.055
CYP2C9,0.458,0.030,0.458,0.029,0.330,0.059
ACHE,0.350,0.035,0.369,0.022,0.357,0.040
CSF1R,0.426,0.026,0.394,0.031,0.188,0.034
KDR,0.711,0.019,0.682,0.031,0.274,0.022
PPARD,0.462,0.006,0.463,0.019,0.311,0.044
F10,0.594,0.035,0.419,0.161,0.329,0.045
PLK1,0.497,0.017,0.504,0.014,0.228,0.045
ABL1,0.728,0.042,0.691,0.026,0.232,0.030
MMP13,0.578,0.020,0.558,0.022,0.269,0.017
CA2,0.346,0.020,0.343,0.019,0.274,0.011
ROCK1,0.366,0.059,0.398,0.027,0.253,0.061
HMGCR,0.302,0.038,0.297,0.034,0.359,0.049
NOS1,0.306,0.046,0.385,0.025,0.384,0.034
F2,0.297,0.014,0.289,0.013,0.335,0.073
