smiles,score
O=C(NCCC1OCCc2ccccc21)Nc1ccn2ccnc2c1,9.5
O=C(Nc1ccccc1)N1CCOCC1c1noc(-c2ccccc2)n1,9.1
NC(=O)CC1CCN(C(=O)CCc2cnn(-c3ccccc3)c2)CC1,9.1
CCNC(=O)c1cccc(CNC(=O)NCc2ccc(-n3ccnc3)c(F)c2)c1,8.9
Cc1cccc(C2(NC(=O)CCc3ccccc3C(=O)O)CCC2)c1,8.9
O=C(NC1CCCc2ccccc21)C1CC(O)CN1c1ccncn1,8.9
COc1cccc(C2CC2C(=O)N(CCC(=O)O)Cc2cccc(F)c2F)c1,8.7
O=C(CCc1ccccc1C(=O)O)NC1(c2ccccc2)CCC1,8.6
Cc1ccc(C(=O)N2CCC(NC(=O)COc3ccc(C(C)C)cc3)CC2)cc1,8.6
O=C(O)c1cccc(C(=O)N(Cc2cccc(F)c2)CC2CCCO2)n1,8.6
CCOc1ccnc(N2CCN(C(=O)c3cccc4c3CCC4)CC2)n1,8.6
Cc1noc([C@]23CCC[C@H]2CN(C(=O)c2cn[nH]c2)C3)n1,8.6
O=C(c1cccc(-n2cccc2)c1)N1CCc2ncccc2C1,8.5
COc1ccc(CC2CCN(C(=O)c3ccc(C(=O)O)cc3)CC2)cc1,8.5
CC1CN(C(=O)Nc2ccc3ccn(C)c(=O)c3c2)CC(=O)N1,8.5
O=C(CCC(=O)N1CCC(O)CC1)NCc1ccccc1-n1ccnc1,8.5
Cc1ncoc1C(=O)NC1CC[C@@H]2CN(Cc3ccccc3)C[C@@H]2C1,8.4
NC(=O)[C@@H]1CCO[C@@H]1CC1CCN(C(=O)c2cccc(F)c2)CC1,8.4
Cc1nn(-c2ccccc2)c2ncc(NC(=O)C3COCCO3)cc12,8.4
O=C(c1ccc2c(c1)CCO2)N1CCC(C(=O)O)(C(F)(F)F)C1,8.2
Cc1cccc(C)c1CC(=O)N1CCC([C@H]2OCC[C@@H]2C(N)=O)CC1,8.2
Cc1ccc2[nH]cc(CCC(=O)N3CCOC4(CCN(C)CC4)C3)c2c1,8.2
CCc1ccc2occ(C(=O)NCC(CO)Cc3ccncc3)c2c1,8.2
Cc1nc(N2CCCC(O)(Cc3nncn3C)C2)c(Cl)cc1C#N,8.1
O=C(N[C@H]1COC[C@H]1Oc1cn[nH]c1)c1ncc2ccccn12,8.1
Cc1ccc2nc(Cn3cc(CNC4CCN(C)CC4)nn3)cn2c1,8.1
COCC1COCCN1Cc1csc(-c2cccc(C(=O)O)c2)n1,8.1
O=C(NCCOc1ccccc1F)N1CCC(N2CCCNC2=O)CC1,8.1
